,0
tomatometer,1270.30126953125
d0_mean,123.32762908935547
user_mean,87.99755859375
d1_mean,49.72942352294922
d9_cnt,46.01863098144531
d7_cnt,36.92372512817383
n_reviewers,33.01918411254883
d0_cnt,32.75651168823242
d1_cnt,31.383167266845703
d2_mean,31.326642990112305
d2_cnt,30.160789489746094
d4_cnt,29.057844161987305
d6_cnt,27.122278213500977
n_observed,26.560527801513672
d8_cnt,25.13524055480957
dispersion,24.776782989501953
d3_mean,23.738712310791016
d5_cnt,22.809663772583008
d3_cnt,22.428604125976562
max_overlap,21.166772842407227
d4_mean,18.8690128326416
d5_mean,18.190349578857422
d0_std,17.73232650756836
genre_id,15.935848236083984
mean_overlap,15.5322265625
d9_mean,14.984940528869629
d7_mean,14.700740814208984
d6_mean,14.247843742370605
d9_std,14.016883850097656
d7_std,12.929170608520508
d1_std,11.409420013427734
d4_std,11.176545143127441
d6_std,10.904558181762695
d2_std,10.398592948913574
d8_mean,9.787714004516602
d3_std,9.539196968078613
d5_std,8.982120513916016
d8_std,8.822179794311523
