,0
tomatometer,1267.135986328125
d0_mean,207.6488800048828
user_mean,88.4607162475586
gs_rating,80.7694091796875
d1_mean,57.034297943115234
d2_mean,35.992671966552734
d1_cnt,32.09600067138672
user_theme_avg,26.11852264404297
d3_mean,25.493858337402344
n_observed,25.120037078857422
d4_cnt,24.18470573425293
d5_cnt,23.272518157958984
dispersion,23.017539978027344
user_genre_6_cnt,22.982324600219727
user_cast_overlap1_rating,22.700838088989258
user_genre_10_cnt,21.47133445739746
d9_cnt,21.29700469970703
d4_mean,20.87141990661621
user_genre_8_cnt,20.70940589904785
user_genre_9_cnt,20.552501678466797
d2_cnt,19.279922485351562
n_reviewers,18.167598724365234
user_director_z,17.85153579711914
d6_cnt,17.736309051513672
d8_cnt,17.715349197387695
user_genre_3_cnt,17.315818786621094
user_cast_overlap1_n,17.197874069213867
user_genre_0_cnt,17.000478744506836
max_overlap,16.93138313293457
runtime_log,16.687837600708008
d5_mean,16.516206741333008
d7_cnt,16.49041175842285
d3_cnt,15.792120933532715
d0_std,15.73961353302002
user_actor_byrating3_z,15.508392333984375
user_genre_5_cnt,15.364805221557617
user_genre_15_cnt,15.110098838806152
user_genre_14_cnt,14.986727714538574
user_genre_7_cnt,14.979969024658203
user_genre_9_z,14.954754829406738
user_genre_15_z,14.793023109436035
user_genre_0_z,14.519739151000977
d0_cnt,14.375879287719727
user_genre_18_z,14.320514678955078
mean_overlap,14.051982879638672
user_genre_5_z,13.99269962310791
user_genre_11_cnt,13.704767227172852
user_genre_6_z,13.567341804504395
user_actor_byrating4_z,12.951864242553711
user_cast_overlap2_rating,12.752317428588867
user_genre_19_cnt,12.738676071166992
user_genre_16_cnt,12.591684341430664
user_cast_overlap5_rating,12.323163986206055
n_themes_log,12.308807373046875
user_actor_bycount2_z,12.286629676818848
user_genre_4_cnt,12.18257999420166
user_actor_byrating2_z,12.076701164245605
user_genre_19_z,12.05773639678955
user_genre_7_z,12.056763648986816
user_actor_byrating1_z,11.993237495422363
user_genre_12_cnt,11.975275993347168
user_genre_13_cnt,11.883776664733887
user_genre_18_cnt,11.845858573913574
user_actor_bycount5_cnt,11.83353042602539
n_languages_log,11.772507667541504
user_genre_10_z,11.570409774780273
user_cast_overlap2_n,11.50802993774414
user_actor_byrating5_z,11.23419189453125
user_genre_1_cnt,11.176749229431152
d8_mean,11.09691333770752
d9_mean,11.093759536743164
user_genre_12_z,10.986174583435059
user_genre_1_z,10.942012786865234
user_genre_14_z,10.923900604248047
user_genre_11_z,10.862833023071289
user_cast_overlap4_rating,10.783059120178223
user_theme_mass_log,10.756244659423828
d1_std,10.69701862335205
user_cast_overlap3_n,10.668903350830078
user_genre_8_z,10.61923599243164
user_genre_2_cnt,10.521190643310547
user_genre_2_z,10.457173347473145
d6_std,10.452183723449707
d3_std,10.406994819641113
user_genre_3_z,10.258254051208496
d6_mean,10.142532348632812
user_actor_bycount1_z,10.10770034790039
user_genre_17_z,10.106815338134766
d5_std,10.045000076293945
user_genre_13_z,10.040510177612305
user_genre_17_cnt,9.96213150024414
user_genre_4_z,9.876778602600098
user_genre_16_z,9.818448066711426
d8_std,9.750566482543945
user_actor_bycount4_z,9.526531219482422
d7_mean,9.377239227294922
user_actor_bycount3_z,9.26842975616455
d7_std,9.26095962524414
user_theme_simcnt_hi,9.13662338256836
d9_std,9.063663482666016
d2_std,8.82944393157959
d4_std,8.607648849487305
user_cast_overlap3_rating,8.374828338623047
user_actor_bycount5_z,8.31924819946289
user_actor_byrating3_cnt,8.018563270568848
user_actor_bycount2_cnt,7.912020683288574
user_actor_byrating1_cnt,7.5703558921813965
user_director_cnt,7.265769004821777
user_actor_bycount3_cnt,7.115792751312256
user_actor_byrating2_cnt,6.161364555358887
user_actor_bycount4_cnt,5.581084728240967
user_actor_byrating5_cnt,5.579124450683594
user_actor_bycount1_cnt,5.501530647277832
user_actor_byrating4_cnt,5.391483306884766
user_cast_overlap4_n,0.0
user_cast_overlap5_n,0.0
