design,raw_full_history_rmse,z_full_history_rmse,z_minus_raw
design1,0.8008941053521257,0.9475139853647631,0.14661988001263737
design1_topk,0.811423490166239,0.8438500533498012,0.032426563183562185
design2,0.7826513648033142,0.7923951148986816,0.009743750095367432
design3,0.789440393447876,0.792778730392456,0.003338336944580078
