k_neighbors,similar_seen,n_episodes,rmse
10,0,5081,1.1492332354035724
10,1,827,1.0334049186899956
10,2,85,0.922815073556655
10,3,7,3.9655147127608448
20,0,4435,1.135580698518846
20,1,1305,1.1388751330101785
20,2,216,0.9871692411004521
20,3,33,1.2204237652032994
20,4,10,0.7951225973909901
20,5+,1,9.928598920362237
30,0,3905,1.1512829229139283
30,1,1620,1.07731656113414
30,2,376,1.0948985569946084
30,3,71,1.498855643677683
30,4,18,0.7125923488129108
30,5+,10,3.175277115919551
