n,rmse_pop_weighted,rmse_uniform,fallback_pop,fallback_unif
3,0.989332728732697,1.0107626833293648,0.21247113163972287,0.2840646651270208
5,0.8940779318770786,0.946039329362327,0.06697459584295612,0.12009237875288684
10,0.9060464501951376,0.9397854937101228,0.025404157043879907,0.03464203233256351
20,0.8633156142265745,0.8267424910961746,0.01405152224824356,0.013986013986013986
50,0.935863714409367,0.8627495789873333,0.003257328990228013,0.006514657980456026
