method,mean_spearman,n_users_spearman,precision_at_10,n_users_p10
design1,0.5874743465217248,300,0.2867109634551495,301
tomatometer_z,0.5641136024429355,300,0.28106312292358804,301
critic_mean,0.5782979774651351,300,0.2837209302325582,301
